,link,title,type
0,https://www.navbug.com/incident4563272370063342976/at_mystic_valley_pky_exit_31_queuing_traffic_approach_with_care.htm,At Mystic Valley Pky/Exit 31 - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
1,https://www.navbug.com/incident2278403109905741190/closed_at_broadway_dexter_st_closed_due_to_roadwork.htm,Closed at Broadway/Dexter St - Closed due to roadwork.(...),TYPE: Construction | Serious  | Road Closed 
2,https://www.navbug.com/incident634238943968781641/closed_at_boston_ave_closed_due_to_roadwork.htm,Closed at Boston Ave - Closed due to roadwork.(...),TYPE: Construction | Serious  | Road Closed 
3,https://www.navbug.com/incident2285528070801376802/at_rt_28_nb_exit_29_sb_exit_28_queuing_traffic_approach_with_care.htm,At RT-28/NB Exit 29/SB Exit 28 - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
4,https://www.navbug.com/incident2164583969835028629/at_rt_28_fellsway_west_exit_33_queuing_traffic_approach_with_care.htm,At RT-28/Fellsway West/Exit 33 - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
5,https://www.navbug.com/incident3035594790530596355/at_rt_28_nb_exit_28_sb_exit_26a_queuing_traffic_approach_with_care.htm,At RT-28/NB Exit 28/SB Exit 26A - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
6,https://www.navbug.com/incident1489452783149411009/at_bartlett_st_construction_work_lane_blocked.htm,At Bartlett St - Construction work. Lane blocked.(...),TYPE: Construction | Serious  | Road Closed 
7,https://www.navbug.com/incident3326318172378051177/at_alford_st_construction_work_lane_blocked.htm,At Alford St - Construction work. Lane blocked.(...),TYPE: Construction | Serious  | Road Closed 
8,https://www.navbug.com/incident1450035660537737075/at_malden_brg_roadwork.htm,At Malden Brg - Roadwork.(...),TYPE: Construction | Serious  | Road Closed 
9,https://www.navbug.com/incident3518375977646564916/at_rt_16_revere_beach_pky_main_st_construction_work_lane_blocked.htm,At RT-16/Revere Beach Pky/Main St - Construction work. Lane blocked.(...),TYPE: Construction | Serious  | Road Closed 
10,https://www.navbug.com/incident4467389380392926260/closed_at_union_sq_closed_due_to_roadwork.htm,Closed at Union Sq - Closed due to roadwork.(...),TYPE: Construction | Serious  | Road Closed 
11,https://www.navbug.com/incident4168150019201816922/at_dexter_st_roadwork.htm,At Dexter St - Roadwork.(...),TYPE: Construction | Serious  | Road Closed 
12,https://www.navbug.com/incident4125052321825383778/closed_at_crescent_st_closed_due_to_roadwork.htm,Closed at Crescent St - Closed due to roadwork.(...),TYPE: Construction | Serious  | Road Closed 
13,https://www.navbug.com/incident1510729922627354387/closed_at_washington_st_closed_due_to_roadwork.htm,Closed at Washington St - Closed due to roadwork.(...),TYPE: Construction | Serious  | Road Closed 
14,https://www.navbug.com/incident1802853229191251938/at_fallon_rd_exit_35_queuing_traffic_approach_with_care.htm,At Fallon Rd/Exit 35 - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
15,https://www.navbug.com/incident3908474162989170236/at_rt_60_pleasant_st_exit_59_queuing_traffic_approach_with_care.htm,At RT-60/Pleasant St/Exit 59 - Queuing traffic. Approach with care.(...),TYPE: Construction | Serious  | Road Closed 
16,https://www.navbug.com/article621402887_arch20190410/medford_man_in_critical_condition_after_toms_river_motorcycle_crash_say_police_asbury_park_press.htm,"Medford man in critical condition after Toms River motorcycle crash, say police - Asbury Park Press",TYPE: Construction | Serious  | Road Closed 
17,https://www.navbug.com/article620417922_arch20190409/driver_rushed_to_hospital_following_crash_in_medford_boston_news_weather_sports_whdh_7news.htm,"Driver rushed to hospital following crash in Medford - Boston News, Weather, Sports | WHDH 7News",TYPE: Construction | Serious  | Road Closed 
18,https://www.navbug.com/report28915/exit_31_on_i_93n_is_closed.htm,Exit 31 on I-93N is Closed,TYPE: Construction | Serious  | Road Closed 
