month,city,road,subject
"April 2019 Incident Archives, Medford",,MYSTICVALLEYPKWY,"The Cambridge District Court moved into Medford this week, placing itself in the former Cross Country building at 4040 Mystic Valley Pkwy. Approximately 70 court personnel will occupy the renovated 56 ...Thu, 26 Feb 2009 04:01:00 GMTWicked Local


NF[...]"
"April 2019 Incident Archives, Medford",QUINCY,I-93," Quincy, MA PatchPerson Stole Street Sweeper In Quincy - Quincy, MA - Police say the driver of the stolen sweeper nearly crashed into a State Police cruiser.[...]"
"April 2019 Incident Archives, Medford",STONEHAM,I-93NORTH,"More: George Foreman's Son Remembers Muhammad Ali The billboards are being displayed on I-93 North in Medford and Stoneham, along the Southeast Expressway, McClellan Highway in East Boston, Route 1 in ...[...]"
"April 2019 Incident Archives, Medford",MEDFORD,121RIVERSIDEAVE,"In the event of bad weather and the Medford Public Schools are closed, the Senior Center will be closed on the first day. If the schools remain closed on the second day, please call the center 781-396 ...Sun, 07 Mar 2010 04:01:00 GMTWicked Local


NF[...]"
"April 2019 Incident Archives, Medford",,I-93," Boston News, Weather, Sports | WHDH 7NewsMEDFORD, MASS. (WHDH) - The driver of an SUV was rushed to the hospital following a crash with a tractor-trailer Thursday. Video from Sky 7-HD over the ...[...]"
"April 2019 Incident Archives, Medford",MEDFORD,I-93S,A crash on I-93's northbound lanes has tied up traffic on the highway. The incident near Assembly Square was first reported by WHDH News Producer Brad Tatum on Twitter. Tatum's photo showed a van and ...[...]
"April 2019 Incident Archives, Medford",,FELLSWAY," Wicked Local MedfordThe following is a selection from the Medford Police logs, Dec. 5 - 11. Dec. 5. 6:40 a.m.; Maynard Street - A breaking and entering of a motor vehicle was ...[...]"
"April 2019 Incident Archives, Medford",NEEDHAM,I-95N," Patch.comFalmouth, MA - Plus, a school system looks for ways to make up school days and lanes on Route 95 will be closed on Thursday.[...]"
"April 2019 Incident Archives, Medford",,GORDONAVE, Boston HeraldAuthorities say an unlicensed 17-year-old boy was high on drugs at the wheel of an SUV when he ran down and killed a 64-year-old woman in Medford ...[...]
"April 2019 Incident Archives, Medford",,NOINFORMATION, Boston HeraldAuthorities say an unlicensed 17-year-old boy was high on drugs at the wheel of an SUV when he ran down and killed a 64-year-old woman in Medford ...[...]
"March 2019 Incident Archives, Medford",MEDFORD,I-93, CBS Boston / WBZA young driver is in custody after one person was killed and two others were seriously injured when they were hit by a car in Medford on Sunday. WBZ-TV's Jim ...[...]
"March 2019 Incident Archives, Medford",MEDFORD,I-93N,"The personal and ambient data used in this paper were collected as part of a personal exposure study conducted in Boston, MA, during 1999-2000. This study was one of a group of personal exposure panel ...Sat, 31 Jan 2009 16:00:00 GMTResearchGate


NF[...]"
"March 2019 Incident Archives, Medford",MEDFORD,I-93EXIT31," Patch.comSalem, NH - Salem Police: Boston woman arrested for criminal liability and a Manchester man was arrested for DUI, ID theft, and many other charges.[...]"
"March 2019 Incident Archives, Medford",MEDFORD,,"MEDFORD, MASS. (WHDH) - A suspect is in custody following a tense standoff Thursday in Medford. Video from Sky7 HD showed several police cruisers, along with armored vehicles, stationed in the ...[...]"
"March 2019 Incident Archives, Medford",MEDFORD,,"A driver escaped injury in a crash on I-93 Sunday night. (Medford Fire Department) MEDFORD, MA - A driver escaped injury after crashing into a guardrail in Medford Sunday night, according to the ...[...]"
"March 2019 Incident Archives, Medford",,US3, The Boston GlobeFederal authorities have identified the company involved in a fatal industrial accident in Medford on Wednesday as The Three Masons from Tyngsborough.[...]
"March 2019 Incident Archives, Medford",WOBURN,I-93,"The woman killed in a Saturday crash on Interstate 93 in Woburn has been identified as Deborah A. Burpee, 48, of Kennebunk, Maine. Massachusetts State Police troopers from the Medford barracks were ...[...]"
"March 2019 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY," Medford, MA PatchRoads Flooded, Cars Stranded - Medford, MA - State police are responding to multiple roads in the Somerville-Medford area.[...]"
"March 2019 Incident Archives, Medford",MEDFORD,MYSTICVALLEYPKWY, Wicked LocalCity and state officials are looking to address vehicle and pedestrian safety at one of Medford's most strained intersections.Officials discussed the Main ...[...]
